model,wall_seed,seat,prevalent_wind,score,rank,win,self_draw,deal_in,deal_in_fan,big_deal_in,draw,draw_tenpai,call_rate,decisions,mean_decision_ms,p95_decision_ms,max_decision_ms,invalid_or_timeout,steps
candidate,20260842,3,0,-8.0,2.5,0,0,0,0,0,0,0,0.020833333333333332,48,2.2972956843053303,2.796412631869316,2.819577232003212,0,96
candidate,20260843,0,1,-17.0,4.0,0,0,1,9,0,0,0,0.0,41,2.435560769787649,3.031207248568535,3.0885953456163406,0,82
candidate,20260843,1,1,-30.0,4.0,0,0,0,0,0,0,0,0.03225806451612903,62,2.3182384789951387,2.8635279275476933,2.974139526486397,1,123
candidate,20260843,2,1,34.0,1.0,1,0,0,0,0,0,0,0.02,50,2.3376795649528503,2.995041385293007,3.053920343518257,0,100
candidate,20260843,3,1,-8.0,2.5,0,0,0,0,0,0,0,0.0,50,2.3742029815912247,3.2170009799301624,3.3672284334897995,0,100
candidate,20260844,0,2,-16.0,4.0,0,0,1,8,0,0,0,0.0,48,2.452757442370057,3.068524319678545,3.208870068192482,0,96
candidate,20260844,1,2,-8.0,2.5,0,0,0,0,0,0,0,0.02040816326530612,49,2.3242724413166242,2.899109199643135,2.9247067868709564,0,98
candidate,20260844,2,2,-19.0,4.0,0,0,1,11,0,0,0,0.08,50,2.3109202831983566,2.859973721206188,2.8851963579654694,0,100
candidate,20260844,3,2,-8.0,2.5,0,0,0,0,0,0,0,0.02,50,2.3536989465355873,3.048654180020094,3.150288015604019,0,100
candidate,20260845,0,3,-8.0,2.5,0,0,0,0,0,0,0,0.05555555555555555,36,2.386382729229,2.9264180921018124,2.9762834310531616,0,72
candidate,20260845,1,3,87.0,1.0,1,1,0,0,0,0,0,0.05128205128205128,39,2.307631457463289,2.8799869120121,3.001771867275238,0,77
candidate,20260845,2,3,-29.0,3.0,0,0,0,0,0,0,0,0.05263157894736842,38,2.3706966128788496,3.1738835386931896,3.276921808719635,0,77
candidate,20260845,3,3,-8.0,2.5,0,0,0,0,0,0,0,0.05555555555555555,36,2.27284234844976,2.696557901799679,2.7097072452306747,0,72
candidate,20260846,0,2,-8.0,2.5,0,0,0,0,0,0,0,0.0,46,2.4225992434050725,2.998118754476309,3.048086538910866,0,92
candidate,20260846,1,2,-8.0,2.5,0,0,0,0,0,0,0,0.018518518518518517,54,2.3711644871919244,3.0003629624843597,3.009660169482231,0,108
candidate,20260846,2,2,-25.0,3.0,0,0,0,0,0,0,0,0.023809523809523808,84,2.3516318760812283,3.05000776425004,3.2158922404050827,0,169
candidate,20260846,3,2,-8.0,2.5,0,0,0,0,0,0,0,0.024390243902439025,82,2.3064977012392953,2.8380682691931725,2.942444756627083,0,164
candidate,20260847,0,2,-17.0,3.0,0,0,0,0,0,0,0,0.043478260869565216,46,2.394643126298552,2.982374746352434,3.0115190893411636,0,93
candidate,20260847,1,2,-17.0,3.0,0,0,0,0,0,0,0,0.021739130434782608,46,2.404689059957214,3.1132539734244347,3.1835753470659256,0,93
candidate,20260847,2,2,-34.0,4.0,0,0,1,26,0,0,0,0.01818181818181818,55,2.32279896736145,2.8481606394052505,2.982117235660553,0,110
candidate,20260847,3,2,-16.0,4.0,0,0,1,8,0,0,0,0.0,36,2.3602557679017386,2.933704759925604,2.970723435282707,0,72
candidate,20260848,0,0,-8.0,2.5,0,0,0,0,0,0,0,0.0425531914893617,47,2.367525341662955,2.9509058222174644,2.9753427952528,0,94
candidate,20260848,1,0,43.0,1.0,1,0,0,0,0,0,0,0.02127659574468085,47,2.33061025117306,2.8329364955425262,2.8972625732421875,0,94
candidate,20260848,2,0,42.0,1.0,1,0,0,0,0,0,0,0.022222222222222223,45,2.3011550307273865,2.8860073536634445,2.982689067721367,0,90
candidate,20260848,3,0,-8.0,2.5,0,0,0,0,0,0,0,0.0,47,2.314420258428188,2.896406315267086,2.9659997671842575,0,94
candidate,20260849,0,3,32.0,1.0,1,0,0,0,0,0,0,0.03389830508474576,59,2.3315147954528617,2.7750417590141296,2.9865149408578873,0,118
candidate,20260849,1,3,-8.0,2.5,0,0,0,0,0,0,0,0.03389830508474576,59,2.3744236677885056,3.0125318095088,3.2563991844654083,0,118
candidate,20260849,2,3,0.0,2.5,0,0,0,0,0,1,1,0.045454545454545456,88,2.2656609388914974,2.698720619082451,2.8804633766412735,0,176
candidate,20260849,3,3,-8.0,2.5,0,0,0,0,0,0,0,0.034482758620689655,58,2.3410617020623437,3.037460707128048,3.0711889266967773,0,116
candidate,20260850,0,0,-18.0,3.0,0,0,0,0,0,0,0,0.018518518518518517,54,2.372934172550837,2.846673224121332,2.8762612491846085,0,109
candidate,20260850,1,0,-17.0,4.0,0,0,1,9,0,0,0,0.012658227848101266,79,2.512386681724198,3.4762904047966003,3.9196908473968506,0,158
candidate,20260850,2,0,-8.0,2.5,0,0,0,0,0,0,0,0.0851063829787234,47,2.2477032022273287,2.6548471301794048,2.8040707111358643,0,94
candidate,20260850,3,0,0.0,2.5,0,0,0,0,0,1,1,0.036585365853658534,82,2.294085828996286,2.7665356174111366,2.9399730265140533,0,164
candidate,20260851,0,1,37.0,1.0,1,0,0,0,0,0,0,0.1111111111111111,27,2.3407357296458,2.7888286858797073,2.882251515984535,0,54
candidate,20260851,1,1,-8.0,2.5,0,0,0,0,0,0,0,0.037037037037037035,27,2.3529295016218117,2.930949442088604,2.9961951076984406,0,54
candidate,20260851,2,1,-22.0,3.0,0,0,0,0,0,0,0,0.0,33,2.3558042717702463,3.005695715546608,3.0781645327806473,0,67
candidate,20260851,3,1,-8.0,2.5,0,0,0,0,0,0,0,0.037037037037037035,27,2.316688014953225,3.0593693256378174,3.125099465250969,0,54
